241,635
437,452
203,408
397,41
337,657
17,252
15,327
70,535
206,251
145,215
66,99
357,640
5,1
37,378
279,-11
349,260
107,322
284,348
497,512
391,259
429,615
162,-32
309,116
431,326
77,390
85,292
405,92
85,484
43,399
424,384
43,135
406,326
74,409
180,435
329,210
359,575
157,-70
339,707
330,195
143,13
394,130
442,528
531,207
183,628
89,357
229,371
50,360
165,670
423,45
62,600
222,459
228,567
1,72
421,588
119,666
63,538
238,411
546,395
299,61
338,536
551,393
59,459
145,74
172,476
398,466
45,575
447,517
418,195
480,123
-47,421
